,date,holder,pct_held,shares,value,ticker,extraction_timestamp
0,2024-03-31,Vanguard Group Inc,0.8672,2133356260,192761538228,NVDA,2024-10-24 13:07:28
1,2024-03-31,Blackrock Inc.,0.7408,1822389250,164663803073,NVDA,2024-10-24 13:07:28
2,2024-03-31,"FMR, LLC",0.4679,1151036980,104003097364,NVDA,2024-10-24 13:07:28
3,2024-03-31,State Street Corporation,0.3678,904894170,81762617624,NVDA,2024-10-24 13:07:28
4,2024-03-31,"Geode Capital Management, LLC",0.2134,524942990,47431748804,NVDA,2024-10-24 13:07:28
5,2024-03-31,Price (T.Rowe) Associates Inc,0.1876,461499100,41699212679,NVDA,2024-10-24 13:07:28
6,2024-03-31,JP Morgan Chase & Company,0.1543,379614540,34300451376,NVDA,2024-10-24 13:07:28
7,2024-03-31,Morgan Stanley,0.1377,338760640,30609056387,NVDA,2024-10-24 13:07:28
8,2023-12-31,Norges Bank Investment Management,0.119899996,294947080,14606369295,NVDA,2024-10-24 13:07:28
9,2024-03-31,Northern Trust Corporation,0.0986,242517530,21912913940,NVDA,2024-10-24 13:07:28
