,ticker,name,sector,industry,market_cap,full_time_employees,ipo_date,extraction_timestamp
0,AAPL,Apple Inc.,Technology,Consumer Electronics,3508498071552.0,161000.0,1980-12-12,2024-10-24 13:07:48
1,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,3156068794368.0,228000.0,1986-03-13,2024-10-24 13:07:48
2,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,2013311926272.0,179582.0,2004-08-19,2024-10-24 13:07:48
3,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,1938642305024.0,1525000.0,1997-05-15,2024-10-24 13:07:48
4,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1426034130944.0,70799.0,2012-05-18,2024-10-24 13:07:48
5,TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,682534764544.0,140473.0,2010-06-29,2024-10-24 13:07:48
6,NVDA,NVIDIA Corporation,Technology,Semiconductors,3423406653440.0,29600.0,1999-01-22,2024-10-24 13:07:48
7,INTC,Intel Corporation,Technology,Semiconductors,93986480128.0,124800.0,1971-10-13,2024-10-24 13:07:48
8,ADBE,Adobe Inc.,Technology,Software - Infrastructure,213510209536.0,29945.0,1986-08-08,2024-10-24 13:07:48
9,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,224333201408.0,90400.0,1990-02-16,2024-10-24 13:07:48
10,ORCL,Oracle Corporation,Technology,Software - Infrastructure,479670501376.0,159000.0,1986-03-12,2024-10-24 13:07:48
11,CRM,"Salesforce, Inc.",Technology,Software - Application,271915073536.0,72682.0,2004-06-23,2024-10-24 13:07:48
12,IBM,International Business Machines,Technology,Information Technology Services,214397206528.0,282200.0,1911-11-12,2024-10-24 13:07:48
13,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,247481778176.0,26000.0,1972-09-18,2024-10-24 13:07:48
14,NFLX,"Netflix, Inc.",Communication Services,Entertainment,320289996800.0,13000.0,2002-05-23,2024-10-24 13:07:48
15,PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,82634932224.0,27200.0,2015-07-20,2024-10-24 13:07:48
16,SQ,"Block, Inc.",Technology,Software - Infrastructure,43950895104.0,12985.0,2015-11-19,2024-10-24 13:07:48
17,TWTR,,,,,,2013-11-07,2024-10-24 13:07:48
18,SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,75794685952.0,20300.0,2000-01-24,2024-10-24 13:07:48
19,ATVI,,,,,,2003-08-09,2024-10-24 13:07:48
20,AVGO,Broadcom Inc.,Technology,Semiconductors,810392354816.0,20000.0,2016-09-14,2024-10-24 13:07:48
21,NOW,"ServiceNow, Inc.",Technology,Software - Application,186852278272.0,22668.0,2012-06-28,2024-10-24 13:07:48
22,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,185592414208.0,50000.0,1991-07-11,2024-10-24 13:07:48
23,TXN,Texas Instruments Incorporated,Technology,Semiconductors,184030674944.0,34000.0,1953-01-01,2024-10-24 13:07:48
24,INTU,Intuit Inc.,Technology,Software - Application,168738586624.0,18800.0,1993-03-24,2024-10-24 13:07:48
25,UBER,"Uber Technologies, Inc.",Technology,Software - Application,167718043648.0,30400.0,2019-05-10,2024-10-24 13:07:48
26,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,150618603520.0,35200.0,1980-06-19,2024-10-24 13:07:48
27,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,123788845056.0,4023.0,2015-06-27,2024-10-24 13:07:48
28,PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,116626661376.0,15289.0,2012-07-20,2024-10-24 13:07:48
29,MU,"Micron Technology, Inc.",Technology,Semiconductors,116473135104.0,48000.0,1984-03-06,2024-10-24 13:07:48
30,ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,118285852672.0,64000.0,1961-10-13,2024-10-24 13:07:48
31,FI,"Fiserv, Inc.",Technology,Information Technology Services,115126444032.0,42000.0,,2024-10-24 13:07:48
32,ADI,"Analog Devices, Inc.",Technology,Semiconductors,112629440512.0,26000.0,2000-08-08,2024-10-24 13:07:48
33,PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,95378178048.0,3661.0,2020-09-30,2024-10-24 13:07:48
34,LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,94434574336.0,17450.0,1996-11-06,2024-10-24 13:07:48
35,KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,89044467712.0,15000.0,1995-08-01,2024-10-24 13:07:48
36,DELL,Dell Technologies Inc.,Technology,Computer Hardware,83881500672.0,120000.0,2018-12-28,2024-10-24 13:07:48
37,APH,Amphenol Corporation,Technology,Electronic Components,82457739264.0,95000.0,2011-07-06,2024-10-24 13:07:48
38,MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,77928087552.0,21000.0,2006-12-01,2024-10-24 13:07:48
39,CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,73366208512.0,9219.0,2019-09-20,2024-10-24 13:07:48
40,MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,70881148928.0,6511.0,2000-11-17,2024-10-24 13:07:48
41,CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,68205821952.0,11200.0,1983-03-29,2024-10-24 13:07:48
42,WDAY,"Workday, Inc.",Technology,Software - Application,64140599296.0,19908.0,2012-10-09,2024-10-24 13:07:48
43,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,61475659776.0,13527.0,2009-08-06,2024-10-24 13:07:48
44,ADSK,"Autodesk, Inc.",Technology,Software - Application,61699149824.0,14100.0,1985-12-12,2024-10-24 13:07:48
45,ROP,"Roper Technologies, Inc.",Technology,Software - Application,58202624000.0,16800.0,2000-08-10,2024-10-24 13:07:48
46,NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,60198502400.0,34200.0,2012-08-02,2024-10-24 13:07:48
47,TTD,"The Trade Desk, Inc.",Technology,Software - Application,57794334720.0,3115.0,2016-09-21,2024-10-24 13:07:48
48,APP,Applovin Corporation,Technology,Software - Application,53279285248.0,1717.0,,2024-10-24 13:07:48
49,PAYX,"Paychex, Inc.",Technology,Software - Application,50900369408.0,16000.0,1971-08-14,2024-10-24 13:07:48
50,TEAM,Atlassian Corporation,Technology,Software - Application,49180098560.0,12157.0,2018-09-25,2024-10-24 13:07:48
51,FIS,Fidelity National Information S,Technology,Information Technology Services,49046384640.0,60000.0,1968-01-08,2024-10-24 13:07:48
52,FICO,Fair Isaac Corporation,Technology,Software - Application,49004146688.0,3588.0,1986-04-04,2024-10-24 13:07:48
53,TEL,TE Connectivity plc,Technology,Electronic Components,44211097600.0,85000.0,2016-01-05,2024-10-24 13:07:48
54,MSTR,MicroStrategy Incorporated,Technology,Software - Application,43352260608.0,1839.0,2006-01-26,2024-10-24 13:07:48
55,MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,43079217152.0,3564.0,2007-11-02,2024-10-24 13:07:48
56,DDOG,"Datadog, Inc.",Technology,Software - Application,40970711040.0,5200.0,2019-09-19,2024-10-24 13:07:48
