date,holder,pct_held,shares,value,ticker,extraction_timestamp
2024-03-31,Vanguard Group Inc,0.8672,2133356260,192761538228,NVDA,2024-11-01 20:28:20
2024-03-31,Blackrock Inc.,0.7408,1822389250,164663803073,NVDA,2024-11-01 20:28:20
2024-03-31,"FMR, LLC",0.4679,1151036980,104003097364,NVDA,2024-11-01 20:28:20
2024-03-31,State Street Corporation,0.3678,904894170,81762617624,NVDA,2024-11-01 20:28:20
2024-03-31,"Geode Capital Management, LLC",0.2134,524942990,47431748804,NVDA,2024-11-01 20:28:20
2024-03-31,Price (T.Rowe) Associates Inc,0.1876,461499100,41699212679,NVDA,2024-11-01 20:28:20
2024-03-31,JP Morgan Chase & Company,0.1543,379614540,34300451376,NVDA,2024-11-01 20:28:20
2024-03-31,Morgan Stanley,0.1377,338760640,30609056387,NVDA,2024-11-01 20:28:20
2023-12-31,Norges Bank Investment Management,0.119899996,294947080,14606369295,NVDA,2024-11-01 20:28:20
2024-03-31,Northern Trust Corporation,0.0986,242517530,21912913940,NVDA,2024-11-01 20:28:20
2023-06-30,Vanguard Group Inc,0.0879,653247546,222456919314,MSFT,2024-11-01 20:28:20
2023-06-30,Blackrock Inc.,0.0722,536245027,182612881494,MSFT,2024-11-01 20:28:20
2023-06-30,State Street Corporation,0.0395,293614078,99987338122,MSFT,2024-11-01 20:28:20
2023-06-30,"FMR, LLC",0.028299998,210111250,71551285075,MSFT,2024-11-01 20:28:20
2023-06-30,Price (T.Rowe) Associates Inc,0.0215,159904219,54453782738,MSFT,2024-11-01 20:28:20
2023-06-30,"Geode Capital Management, LLC",0.0199,148129470,50444009713,MSFT,2024-11-01 20:28:20
2023-06-30,Morgan Stanley,0.0166,123498322,42056118573,MSFT,2024-11-01 20:28:20
2023-06-30,JP Morgan Chase & Company,0.0152,113024837,38489477991,MSFT,2024-11-01 20:28:20
2022-12-31,Norges Bank Investment Management,0.0116,86316926,20700525193,MSFT,2024-11-01 20:28:20
2023-06-30,Capital World Investors,0.0115,85507261,29118642660,MSFT,2024-11-01 20:28:20
2023-06-30,Vanguard Group Inc,0.09819999,40531455,35158200010,AVGO,2024-11-01 20:28:20
2023-06-30,Blackrock Inc.,0.076799996,31681688,27481646621,AVGO,2024-11-01 20:28:20
2023-06-30,Capital World Investors,0.0674,27822521,24134089391,AVGO,2024-11-01 20:28:20
2023-06-30,Capital International Investors,0.0555,22910715,19873441512,AVGO,2024-11-01 20:28:20
2023-06-30,Capital Research Global Investors,0.0465,19205984,16659846701,AVGO,2024-11-01 20:28:20
2023-06-30,State Street Corporation,0.040999997,16941449,14695521106,AVGO,2024-11-01 20:28:20
2023-06-30,"Geode Capital Management, LLC",0.0208,8602239,7461840175,AVGO,2024-11-01 20:28:20
2023-06-30,Bank of America Corporation,0.0202,8353977,7246490269,AVGO,2024-11-01 20:28:20
2023-06-30,Morgan Stanley,0.0145000005,6001603,5205970490,AVGO,2024-11-01 20:28:20
2023-06-30,"Charles Schwab Investment Management, Inc.",0.013200001,5444336,4722580376,AVGO,2024-11-01 20:28:20
2023-06-30,Vanguard Group Inc,0.0509,139389898,16599942952,ORCL,2024-11-01 20:28:20
2023-06-30,Blackrock Inc.,0.044,120625641,14365307586,ORCL,2024-11-01 20:28:20
2023-06-30,State Street Corporation,0.0232,63514823,7563980271,ORCL,2024-11-01 20:28:20
2023-06-30,JP Morgan Chase & Company,0.0124,34102445,4061260175,ORCL,2024-11-01 20:28:20
2023-06-30,"FMR, LLC",0.012200001,33508717,3990553107,ORCL,2024-11-01 20:28:20
2023-06-30,"Geode Capital Management, LLC",0.0106,29109414,3466640113,ORCL,2024-11-01 20:28:20
2023-06-30,Morgan Stanley,0.0088,24003167,2858537158,ORCL,2024-11-01 20:28:20
2023-06-30,"Loomis Sayles & Company, LP",0.0073,19969497,2378167397,ORCL,2024-11-01 20:28:20
2023-06-30,"First Eagle Investment Management, LLC",0.0068,18735569,2231218912,ORCL,2024-11-01 20:28:20
2023-06-30,"Fisher Asset Management, LLC",0.0068,18537261,2207602412,ORCL,2024-11-01 20:28:20
2023-06-30,Vanguard Group Inc,0.0671,17055828,922890853,DELL,2024-11-01 20:28:20
2023-06-30,Dodge & Cox Inc,0.0651,16563958,896275767,DELL,2024-11-01 20:28:20
2023-06-30,Blackrock Inc.,0.049200002,12499511,676348540,DELL,2024-11-01 20:28:20
2023-06-30,Boston Partners,0.0385,9783243,529371278,DELL,2024-11-01 20:28:20
2023-06-30,"Arrowstreet Capital, Limited Partnership",0.0271,6893938,373030985,DELL,2024-11-01 20:28:20
2023-06-30,Citadel Advisors Llc,0.0235,5964548,322741692,DELL,2024-11-01 20:28:20
2023-06-30,Lsv Asset Management,0.0233,5925260,320615818,DELL,2024-11-01 20:28:20
2023-06-30,"FMR, LLC",0.0231,5876914,317999816,DELL,2024-11-01 20:28:20
2023-06-30,"Ameriprise Financial, Inc.",0.0199,5065002,274067258,DELL,2024-11-01 20:28:20
2023-06-30,"Point72 Asset Management, L.P.",0.0171,4358244,235824582,DELL,2024-11-01 20:28:20
