date,ticker,ebitda,total_revenue,net_income,operating_income,diluted_eps,extraction_timestamp
2024-01-31,NVDA,35583000000.0,60922000000.0,29760000000.0,32972000000.0,1.193,2024-11-01 20:27:59
2023-01-31,NVDA,5987000000.0,26974000000.0,4368000000.0,5577000000.0,0.174,2024-11-01 20:27:59
2022-01-31,NVDA,11351000000.0,26914000000.0,9752000000.0,10041000000.0,0.385,2024-11-01 20:27:59
2021-01-31,NVDA,5691000000.0,16675000000.0,4332000000.0,4532000000.0,0.1725,2024-11-01 20:27:59
2024-06-30,MSFT,133009000000.0,245122000000.0,88136000000.0,109433000000.0,11.8,2024-11-01 20:27:59
2023-06-30,MSFT,105140000000.0,211915000000.0,72361000000.0,88523000000.0,9.68,2024-11-01 20:27:59
2022-06-30,MSFT,100239000000.0,198270000000.0,72738000000.0,83383000000.0,9.65,2024-11-01 20:27:59
2021-06-30,MSFT,85134000000.0,168088000000.0,61271000000.0,69916000000.0,8.05,2024-11-01 20:27:59
2023-10-31,AVGO,20554000000.0,35819000000.0,14082000000.0,16451000000.0,3.298,2024-11-01 20:27:59
2022-10-31,AVGO,19155000000.0,33203000000.0,11495000000.0,14282000000.0,2.646368,2024-11-01 20:27:59
2021-10-31,AVGO,14691000000.0,27450000000.0,6736000000.0,8667000000.0,1.49625,2024-11-01 20:27:59
2020-10-31,AVGO,11125000000.0,23888000000.0,2960000000.0,4212000000.0,0.631418,2024-11-01 20:27:59
2024-05-31,ORCL,21394000000.0,52961000000.0,10467000000.0,16071000000.0,3.71,2024-11-01 20:27:59
2023-05-31,ORCL,18739000000.0,49954000000.0,8503000000.0,13773000000.0,3.07,2024-11-01 20:27:59
2022-05-31,ORCL,13526000000.0,42440000000.0,6717000000.0,15830000000.0,2.41,2024-11-01 20:27:59
2021-05-31,ORCL,18411000000.0,40479000000.0,13746000000.0,15782000000.0,4.55,2024-11-01 20:27:59
2020-05-31,ORCL,,,,,,2024-11-01 20:27:59
2024-01-31,DELL,8735000000.0,88425000000.0,3211000000.0,5211000000.0,4.36,2024-11-01 20:27:59
2023-01-31,DELL,7662000000.0,102301000000.0,2442000000.0,5771000000.0,3.24,2024-11-01 20:27:59
2022-01-31,DELL,12016000000.0,101197000000.0,5563000000.0,4659000000.0,7.02,2024-11-01 20:27:59
2021-01-31,DELL,9788000000.0,86670000000.0,3250000000.0,3685000000.0,4.22,2024-11-01 20:27:59
2020-01-31,DELL,,,,,,2024-11-01 20:27:59
